open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
2026-07-16 15:00:00+00:00,78194.0,78337.4,78069.1,78167.7,2931.052,2026-07-16 15:59:59.999000+00:00,229235025.6,76544,1471.431,115090223.0,0
2026-07-16 16:00:00+00:00,78167.7,78285.1,78159.1,78159.2,1043.525,2026-07-16 16:59:59.999000+00:00,81628062.09,36904,547.045,42793865.9,0
2026-07-16 17:00:00+00:00,78159.1,78306.6,78113.1,78200.0,1625.933,2026-07-16 17:59:59.999000+00:00,127136995.8,41861,801.075,62653072.41,0
2026-07-16 18:00:00+00:00,78200.0,78270.9,78166.8,78223.8,984.661,2026-07-16 18:59:59.999000+00:00,77024084.71,30117,517.172,40455848.85,0
2026-07-16 19:00:00+00:00,78223.8,78287.8,78160.0,78214.7,767.876,2026-07-16 19:59:59.999000+00:00,60075201.57,27640,378.512,29614093.66,0
2026-07-16 20:00:00+00:00,78214.7,78274.6,78167.5,78229.2,1283.883,2026-07-16 20:59:59.999000+00:00,100445548.0,29396,669.215,52356429.56,0
2026-07-16 21:00:00+00:00,78229.2,78248.7,78133.3,78143.5,923.596,2026-07-16 21:59:59.999000+00:00,72214148.91,27806,342.368,26768693.74,0
2026-07-16 22:00:00+00:00,78143.5,78240.0,78085.2,78104.2,1241.468,2026-07-16 22:59:59.999000+00:00,97035190.2,30443,552.357,43175676.82,0
2026-07-16 23:00:00+00:00,78104.3,78213.9,77760.0,77915.4,3840.451,2026-07-16 23:59:59.999000+00:00,299642471.2,70489,1592.859,124294171.3,0
2026-07-17 00:00:00+00:00,77915.3,78085.4,77675.4,77688.1,5411.676,2026-07-17 00:59:59.999000+00:00,421351989.0,133358,2231.288,173763472.2,0
2026-07-17 01:00:00+00:00,77688.0,77913.6,77688.0,77856.3,2548.06,2026-07-17 01:59:59.999000+00:00,198339729.9,66010,1420.639,110586058.4,0
2026-07-17 02:00:00+00:00,77856.3,78050.0,77845.6,77990.2,1809.776,2026-07-17 02:59:59.999000+00:00,141104313.1,49338,1089.751,84965411.09,0
2026-07-17 03:00:00+00:00,77990.2,78179.1,77957.2,78117.4,1965.339,2026-07-17 03:59:59.999000+00:00,153473329.8,50138,1207.601,94305023.99,0
2026-07-17 04:00:00+00:00,78117.4,78300.0,78064.8,78087.7,2299.316,2026-07-17 04:59:59.999000+00:00,179739418.6,48299,1199.615,93791257.69,0
2026-07-17 05:00:00+00:00,78087.6,78172.7,77970.0,78071.6,1561.292,2026-07-17 05:59:59.999000+00:00,121887806.5,38779,730.774,57060115.68,0
2026-07-17 06:00:00+00:00,78071.6,78175.3,78015.0,78137.2,1336.456,2026-07-17 06:59:59.999000+00:00,104377720.5,36381,776.539,60651698.52,0
2026-07-17 07:00:00+00:00,78137.3,78157.9,77992.1,78050.7,1306.842,2026-07-17 07:59:59.999000+00:00,102019206.5,34516,513.46,40080654.09,0
2026-07-17 08:00:00+00:00,78050.7,78266.6,78041.8,78214.3,1740.301,2026-07-17 08:59:59.999000+00:00,136015866.4,38483,1016.455,79441495.07,0
2026-07-17 09:00:00+00:00,78214.3,78564.3,78208.2,78423.0,5786.248,2026-07-17 09:59:59.999000+00:00,453682493.4,113195,3427.843,268760362.9,0
2026-07-17 10:00:00+00:00,78423.0,78436.0,78245.7,78371.5,2147.004,2026-07-17 10:59:59.999000+00:00,168199350.0,63268,943.887,73948778.93,0
2026-07-17 11:00:00+00:00,78371.4,78515.7,78280.1,78326.9,2107.738,2026-07-17 11:59:59.999000+00:00,165256056.5,55866,1131.372,88710114.51,0
2026-07-17 12:00:00+00:00,78326.9,78331.2,78128.5,78165.0,2499.13,2026-07-17 12:59:59.999000+00:00,195495250.7,64162,972.554,76078850.84,0
2026-07-17 13:00:00+00:00,78165.0,78177.8,77800.0,78009.6,5105.45,2026-07-17 13:59:59.999000+00:00,398144823.8,119925,2149.491,167630916.0,0
2026-07-17 14:00:00+00:00,78009.7,78087.0,77875.0,78006.9,2191.933,2026-07-17 14:59:59.999000+00:00,170952544.7,62183,985.876,76895119.12,0
2026-07-17 15:00:00+00:00,78006.9,78165.3,77979.8,77995.0,1737.293,2026-07-17 15:59:59.999000+00:00,135618645.8,48109,918.655,71719689.08,0
2026-07-17 16:00:00+00:00,77995.1,78054.3,77811.5,78044.8,2930.67,2026-07-17 16:59:59.999000+00:00,228403421.9,73773,1465.816,114253516.6,0
2026-07-17 17:00:00+00:00,78044.8,78235.2,77960.7,78226.2,1824.56,2026-07-17 17:59:59.999000+00:00,142534767.0,60427,1072.191,83766154.97,0
2026-07-17 18:00:00+00:00,78226.2,78432.0,78172.2,78369.0,2074.009,2026-07-17 18:59:59.999000+00:00,162408484.9,56484,1176.156,92114413.46,0
2026-07-17 19:00:00+00:00,78368.9,78393.9,78208.9,78230.0,1173.721,2026-07-17 19:59:59.999000+00:00,91880525.05,38726,546.929,42815018.15,0
2026-07-17 20:00:00+00:00,78230.1,78453.0,78190.6,78365.4,2194.705,2026-07-17 20:59:59.999000+00:00,171979051.2,46907,1252.254,98132704.57,0
2026-07-17 21:00:00+00:00,78365.4,78372.8,77777.0,77961.6,5643.159,2026-07-17 21:59:59.999000+00:00,440247034.4,155918,2715.288,211822372.9,0
2026-07-17 22:00:00+00:00,77961.7,77970.0,76666.0,77430.4,24982.54,2026-07-17 22:59:59.999000+00:00,1930193869.0,410512,9801.427,757361154.4,0
2026-07-17 23:00:00+00:00,77430.4,77452.7,76875.0,77175.7,10777.547,2026-07-17 23:59:59.999000+00:00,831081634.3,305724,5494.842,423696217.4,0
2026-07-18 00:00:00+00:00,77175.7,77274.8,76700.0,77084.5,10313.877,2026-07-18 00:59:59.999000+00:00,793500745.4,259991,5202.232,400288687.9,0
2026-07-18 01:00:00+00:00,77084.5,77190.0,76668.8,76809.4,5970.755,2026-07-18 01:59:59.999000+00:00,459458374.7,138063,3022.792,232611378.7,0
2026-07-18 02:00:00+00:00,76809.4,76999.2,76777.0,76900.0,3091.878,2026-07-18 02:59:59.999000+00:00,237782280.5,99093,1618.289,124449540.9,0
2026-07-18 03:00:00+00:00,76900.1,77045.9,76740.0,77000.2,3443.145,2026-07-18 03:59:59.999000+00:00,264776271.2,91379,1636.964,125881929.8,0
2026-07-18 04:00:00+00:00,77000.2,77059.6,76850.0,76886.5,3158.444,2026-07-18 04:59:59.999000+00:00,243041760.9,86128,1429.858,110032931.3,0
2026-07-18 05:00:00+00:00,76886.5,76942.0,76534.5,76881.3,7189.696,2026-07-18 05:59:59.999000+00:00,551711374.8,163452,3148.553,241663045.8,0
2026-07-18 06:00:00+00:00,76881.4,77054.6,76728.7,77039.4,4449.391,2026-07-18 06:59:59.999000+00:00,342389484.1,121315,2539.223,195414078.9,0
2026-07-18 07:00:00+00:00,77039.5,77193.5,76850.0,77001.0,3716.68,2026-07-18 07:59:59.999000+00:00,286225262.6,102544,2120.74,163334525.9,0
2026-07-18 08:00:00+00:00,77001.0,77025.1,76840.1,76901.4,1667.379,2026-07-18 08:59:59.999000+00:00,128259006.3,63246,798.061,61388718.12,0
2026-07-18 09:00:00+00:00,76901.4,76923.4,76670.1,76733.2,4468.687,2026-07-18 09:59:59.999000+00:00,343070225.2,113292,2388.256,183345533.9,0
2026-07-18 10:00:00+00:00,76733.3,77375.0,76627.0,77255.0,7756.521,2026-07-18 10:59:59.999000+00:00,598100712.2,168385,4191.386,323208798.9,0
